movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
The Conjuring,2013,"['Horror', 'Mystery', 'Thriller']",112.0,7.5,397233,WB (NL),137400000.0,182100000.0
The Next Three Days,2010,"['Action', 'Crime', 'Drama']",133.0,7.4,168066,LGF,21100000.0,46300000.0
Love Crime,2010,"['Crime', 'Drama', 'Mystery']",106.0,6.5,4838,IFC,540000.0,3100000.0
Dream House,2011,"['Drama', 'Mystery', 'Thriller']",84.0,6.0,59714,Uni.,21300000.0,17200000.0
Letters to God,2010,"['Drama', 'Family']",110.0,6.3,4443,Viv.,2800000.0,60300.0
Buried,2010,"['Drama', 'Mystery', 'Thriller']",95.0,7.0,139426,LGF,1000000.0,18100000.0
The Odd Life of Timothy Green,2012,"['Comedy', 'Drama', 'Family']",105.0,6.6,42770,BV,51900000.0,4200000.0
The Grandmaster,2013,"['Action', 'Biography', 'Drama']",130.0,6.6,28781,Wein.,6600000.0,57500000.0
"Big Mommas: Like Father, Like Son",2011,"['Action', 'Comedy', 'Crime']",107.0,4.4,23520,Fox,37900000.0,44800000.0
Decoding Annie Parker,2013,['Drama'],91.0,6.3,2785,EOne,48400.0,0.0
Leaving,2011,"['Comedy', 'Drama']",94.0,6.0,202,IFC,176000.0,893000.0
I Am Number Four,2011,"['Action', 'Adventure', 'Sci-Fi']",111.0,6.1,217762,BV,55100000.0,94800000.0
Stake Land,2010,"['Drama', 'Horror', 'Sci-Fi']",98.0,6.5,38749,IFC,33200.0,0.0
Heartbreaker,2010,"['Comedy', 'Romance']",105.0,6.8,23995,IFC,504000.0,46900000.0
Joy,2010,['Drama'],75.0,6.1,233,Fox,56500000.0,44700000.0
Baywatch,2017,"['Action', 'Comedy', 'Crime']",116.0,5.6,137528,Par.,58100000.0,119800000.0
MacGruber,2010,"['Action', 'Comedy', 'Romance']",90.0,5.5,39782,Uni.,8500000.0,797000.0
"Tuesday, After Christmas",2010,"['Drama', 'Romance']",99.0,7.0,3964,Lorb.,27800.0,36200.0
Monsters,2010,"['Drama', 'Sci-Fi', 'Thriller']",94.0,6.4,84332,Magn.,237000.0,4000000.0
Max Steel,2016,"['Action', 'Adventure', 'Family']",92.0,4.6,16788,ORF,3800000.0,2500000.0
The Well-Digger's Daughter,2011,"['Drama', 'Romance']",107.0,7.0,3459,KL,386000.0,12200000.0
Bridget Jones's Baby,2016,"['Comedy', 'Drama', 'Romance']",123.0,6.5,60260,Uni.,24300000.0,187700000.0
Aquaman,2018,"['Action', 'Adventure', 'Fantasy']",143.0,7.1,263328,WB,335100000.0,812700000.0
Cedar Rapids,2011,['Comedy'],87.0,6.3,34759,FoxS,6900000.0,0.0
Hyde Park on Hudson,2012,"['Biography', 'Comedy', 'Drama']",94.0,5.9,10726,Focus,6400000.0,2500000.0
Bridesmaids,2011,"['Comedy', 'Romance']",125.0,6.8,249501,Uni.,169100000.0,119300000.0
Attack the Block,2011,"['Action', 'Comedy', 'Sci-Fi']",88.0,6.7,93868,SGem,1000000.0,4800000.0
Killing Season,2013,"['Action', 'Drama', 'Thriller']",91.0,5.4,33570,MNE,39900.0,0.0
Cosmopolis,2012,"['Drama', 'Fantasy']",109.0,5.0,41897,EOne,764000.0,5300000.0
Happythankyoumoreplease,2010,"['Comedy', 'Drama', 'Romance']",100.0,6.8,28327,Anch.,216000.0,0.0
Oblivion,2013,"['Action', 'Adventure', 'Sci-Fi']",124.0,7.0,453966,Uni.,89100000.0,197100000.0
Mr. Pip,2012,"['Drama', 'War']",116.0,7.2,3361,Free,1700.0,0.0
The Greatest Showman,2017,"['Biography', 'Drama', 'Musical']",105.0,7.6,199663,Fox,174300000.0,260700000.0
Red Riding Hood,2011,"['Fantasy', 'Horror', 'Mystery']",100.0,5.5,102369,WB,37700000.0,51500000.0
Tamara Drewe,2010,"['Comedy', 'Drama', 'Romance']",107.0,6.2,19362,SPC,560000.0,11400000.0
The Raven,2012,"['Crime', 'Mystery', 'Thriller']",110.0,6.4,79578,Rela.,16000000.0,13600000.0
5 Days of War,2011,"['Action', 'Drama', 'War']",113.0,5.6,13089,Anch.,17500.0,0.0
Chalet Girl,2011,"['Comedy', 'Romance', 'Sport']",97.0,6.3,22352,IFC,1700.0,1700000.0
Khumba,2013,"['Adventure', 'Animation', 'Family']",85.0,5.7,4984,MNE,1000.0,27200000.0
The Change-Up,2011,"['Comedy', 'Fantasy']",112.0,6.3,155374,Uni.,37100000.0,38400000.0
The Forest,2011,"['Horror', 'Thriller']",98.0,3.5,135,Focus,26600000.0,11000000.0
Central Intelligence,2016,"['Action', 'Comedy', 'Crime']",107.0,6.3,138872,WB (NL),127400000.0,89500000.0
The Lego Movie,2014,"['Action', 'Adventure', 'Animation']",100.0,7.8,304179,WB,257800000.0,211400000.0
I Saw the Light,2015,"['Biography', 'Drama', 'Music']",123.0,5.8,5658,SPC,1600000.0,0.0
The Tree,2010,"['Drama', 'Romance']",100.0,6.6,4204,Zeit.,71200.0,2100000.0
Underworld Awakening,2012,"['Action', 'Fantasy', 'Horror']",88.0,6.4,138350,SGem,62300000.0,97800000.0
The Paperboy,2012,"['Crime', 'Drama', 'Mystery']",107.0,5.8,33940,MNE,693000.0,661000.0
Cold Weather,2010,"['Comedy', 'Drama', 'Mystery']",96.0,6.2,2063,IFC,141000.0,0.0
Anjaana Anjaani,2010,"['Comedy', 'Drama', 'Musical']",151.0,5.8,5533,Eros,855000.0,761000.0
Horrible Bosses,2011,"['Comedy', 'Crime']",98.0,6.9,398695,WB (NL),117500000.0,92100000.0
Drive Angry,2011,"['Action', 'Fantasy', 'Thriller']",104.0,5.4,90203,Sum.,10700000.0,18200000.0
Fantastic Four,2015,"['Action', 'Adventure', 'Drama']",100.0,4.3,140148,Fox,56100000.0,111900000.0
Road to Nowhere,2010,"['Romance', 'Thriller']",121.0,5.5,1552,Mont.,40300.0,121000.0
The King's Speech,2010,"['Biography', 'Drama', 'History']",118.0,8.0,593629,Wein.,135500000.0,275400000.0
Haywire,2011,"['Action', 'Drama', 'Thriller']",93.0,5.8,78681,Rela.,18900000.0,14400000.0
Caterpillar,2010,"['Drama', 'War']",85.0,6.7,962,Lorb.,4200.0,248000.0
Le Havre,2011,"['Comedy', 'Drama']",93.0,7.2,18490,Jan.,612000.0,9900000.0
Super,2010,"['Action', 'Comedy', 'Drama']",96.0,6.8,70604,IFC,328000.0,0.0
Sherlock Holmes: A Game of Shadows,2011,"['Action', 'Adventure', 'Crime']",129.0,7.5,394189,WB,186800000.0,358600000.0
Dough,2015,"['Comedy', 'Drama']",94.0,6.2,1517,Men.,1100000.0,0.0
Meek's Cutoff,2010,"['Drama', 'Western']",104.0,6.6,10439,Osci.,978000.0,0.0
Anonymous,2011,"['Drama', 'Thriller']",130.0,6.9,37932,Sony,4500000.0,10900000.0
Potiche,2010,['Comedy'],103.0,6.4,9543,MBox,1600000.0,21600000.0
Kaboom,2010,"['Comedy', 'Mystery', 'Romance']",86.0,5.7,11858,IFC,119000.0,421000.0
Contraband,2012,"['Action', 'Crime', 'Drama']",109.0,6.5,111709,Uni.,66500000.0,29700000.0
The Vatican Tapes,2015,"['Horror', 'Thriller']",91.0,5.0,14822,LGF,1800000.0,0.0
Vacation,2015,"['Adventure', 'Comedy']",99.0,6.1,87582,WB (NL),58900000.0,46000000.0
Melancholia,2011,"['Drama', 'Sci-Fi']",135.0,7.2,153434,Magn.,3000000.0,12900000.0
The Man from Nowhere,2010,"['Action', 'Drama', 'Thriller']",119.0,7.8,55247,CJ,528000.0,42500000.0
Archipelago,2010,['Drama'],114.0,6.3,1991,KL,7800.0,492000.0
Horns,2013,"['Crime', 'Drama', 'Fantasy']",120.0,6.5,70040,RTWC,174000.0,3700000.0
Exodus: Gods and Kings,2014,"['Action', 'Adventure', 'Drama']",150.0,6.0,150858,Fox,65000000.0,203200000.0
Daddy's Home,2015,['Comedy'],96.0,6.2,96909,Par.,150400000.0,92400000.0
Sea Rex 3D: Journey to a Prehistoric World,2010,['Documentary'],41.0,6.9,364,3D,6100000.0,9900000.0
Red Hill,2010,"['Thriller', 'Western']",95.0,6.4,7874,Strand,21100.0,300000.0
Everything Must Go,2010,"['Comedy', 'Drama']",97.0,6.4,45799,RAtt.,2700000.0,0.0
Byzantium,2012,"['Drama', 'Fantasy', 'Horror']",118.0,6.5,38237,IFC,89200.0,0.0
Beginners,2010,"['Comedy', 'Drama', 'Romance']",105.0,7.2,83770,Focus,5800000.0,8500000.0
Battle of the Year,2013,"['Drama', 'Music']",110.0,5.1,8769,SGem,8900000.0,7700000.0
Beautiful Boy,2010,['Drama'],100.0,6.6,6058,Anch.,77200.0,0.0
Let the Bullets Fly,2010,"['Action', 'Comedy', 'Western']",132.0,7.4,8234,Vari.,63000.0,104300000.0
Shaolin,2011,"['Action', 'Drama']",131.0,6.9,17777,Vari.,66100.0,33600000.0
Elysium,2013,"['Action', 'Drama', 'Sci-Fi']",109.0,6.6,395572,TriS,93100000.0,193100000.0
Captain Phillips,2013,"['Biography', 'Drama', 'Thriller']",134.0,7.8,387402,Sony,107100000.0,111700000.0
Hope Springs,2012,"['Comedy', 'Drama', 'Romance']",100.0,6.3,38667,Sony,63500000.0,50700000.0
The Son of No One,2011,"['Action', 'Crime', 'Drama']",90.0,5.1,15743,Anch.,30700.0,0.0
The Ledge,2011,"['Drama', 'Romance', 'Thriller']",101.0,6.5,17757,IFC,9200.0,602000.0
Paranormal Activity 2,2010,['Horror'],91.0,5.7,93122,Par.,84800000.0,92800000.0
W.E.,2011,"['Drama', 'History', 'Romance']",119.0,6.3,11314,Wein.,583000.0,285000.0
Leap Year,2010,"['Drama', 'Romance']",94.0,5.9,2211,Uni.,25900000.0,6700000.0
The Mortal Instruments: City of Bones,2013,"['Action', 'Fantasy', 'Horror']",130.0,5.9,121936,SGem,31200000.0,64200000.0
Blair Witch,2016,"['Horror', 'Mystery', 'Thriller']",89.0,5.0,36867,LGF,20800000.0,24400000.0
Playing for Keeps,2012,"['Comedy', 'Romance', 'Sport']",105.0,5.7,27389,FD,13100000.0,0.0
The Guard,2011,"['Comedy', 'Crime', 'Thriller']",96.0,7.3,75183,SPC,5400000.0,14200000.0
Casino Jack and the United States of Money,2010,['Documentary'],118.0,7.1,1522,Magn.,177000.0,0.0
Flypaper,2011,"['Comedy', 'Crime', 'Mystery']",87.0,6.4,30352,IFC,5000.0,3100000.0
Snow Flower and the Secret Fan,2011,"['Drama', 'History']",104.0,6.1,3429,FoxS,1300000.0,10000000.0
127 Hours,2010,"['Adventure', 'Biography', 'Drama']",94.0,7.6,323949,FoxS,18300000.0,42400000.0
Carancho,2010,"['Crime', 'Drama', 'Romance']",107.0,6.9,7084,Strand,85500.0,3900000.0
Point Blank,2010,"['Action', 'Crime', 'Drama']",81.0,6.8,12706,Magn.,708000.0,8500000.0
Judy Moody and the Not Bummer Summer,2011,"['Comedy', 'Family']",91.0,4.3,2674,Rela.,15000000.0,678000.0
Premium Rush,2012,"['Action', 'Crime', 'Thriller']",91.0,6.5,105279,Sony,20300000.0,10800000.0
Another Earth,2011,"['Drama', 'Romance', 'Sci-Fi']",92.0,7.0,85839,FoxS,1300000.0,456000.0
Elles,2011,['Drama'],99.0,5.6,5889,KL,158000.0,754000.0
The Last Stand,2013,"['Action', 'Thriller']",107.0,6.4,126623,LGF,12100000.0,36300000.0
The Little Death,2010,['Drama'],75.0,6.0,41,Magn.,18200.0,0.0
A Better Life,2011,"['Drama', 'Romance']",98.0,7.2,14602,Sum.,1800000.0,0.0
Country Strong,2010,"['Drama', 'Music']",117.0,6.3,16296,SGem,20200000.0,310000.0
Mary Queen of Scots,2013,"['Biography', 'Drama', 'History']",119.0,5.5,753,Focus,16500000.0,29900000.0
Elite Squad: The Enemy Within,2010,"['Action', 'Crime', 'Drama']",115.0,8.0,75071,Vari.,100000.0,62900000.0
Wetlands,2011,['Drama'],111.0,6.9,483,Strand,59500.0,10500000.0
Nostalgia for the Light,2010,['Documentary'],90.0,7.6,4242,Icar.,164000.0,13700.0
GasLand,2010,['Documentary'],107.0,7.7,9940,WOW,30800.0,18600.0
Restrepo,2010,"['Documentary', 'War']",93.0,7.5,20691,NGE,1300000.0,105000.0
The Master,2012,['Drama'],138.0,7.1,131365,Wein.,16399999.0,11900000.0
The Devil Inside,2012,['Horror'],83.0,4.2,33522,Par.,53300000.0,48500000.0
Higher Ground,2011,['Drama'],109.0,6.3,2869,SPC,842000.0,0.0
Golmaal 3,2010,"['Action', 'Comedy']",155.0,5.4,6616,Eros,1100000.0,935000.0
Zindagi Na Milegi Dobara,2011,"['Comedy', 'Drama']",155.0,8.1,58912,Eros,3100000.0,0.0
One Day,2011,"['Drama', 'Romance']",107.0,7.0,128094,Focus,13800000.0,45500000.0
Dolphin Tale,2011,"['Drama', 'Family']",113.0,6.9,20746,WB,72300000.0,23100000.0
Just Go with It,2011,"['Comedy', 'Romance']",117.0,6.4,200932,Sony,103000000.0,111900000.0
Skyline,2010,"['Action', 'Sci-Fi', 'Thriller']",92.0,4.4,83710,Uni.,21400000.0,45400000.0
Man on a Ledge,2012,"['Action', 'Adventure', 'Crime']",102.0,6.6,137507,LG/S,18600000.0,27600000.0
The Girl with the Dragon Tattoo,2011,"['Crime', 'Drama', 'Mystery']",158.0,7.8,387580,MBox,10100000.0,94300000.0
War Horse,2011,"['Drama', 'History', 'War']",146.0,7.2,136447,BV,79900000.0,97700000.0
The Secret World of Arrietty,2010,"['Adventure', 'Animation', 'Family']",94.0,7.6,68266,BV,19200000.0,126400000.0
"Crazy, Stupid, Love.",2011,"['Comedy', 'Drama', 'Romance']",118.0,7.4,436830,WB,84400000.0,58500000.0
Tiny Furniture,2010,"['Comedy', 'Drama', 'Romance']",98.0,6.2,13397,IFC,392000.0,0.0
A Dangerous Method,2011,"['Biography', 'Drama', 'Romance']",99.0,6.4,93259,SPC,5700000.0,21800000.0
Mortal Engines,2018,"['Action', 'Adventure', 'Fantasy']",128.0,6.1,70193,Uni.,16000000.0,67700000.0
The Skeleton Twins,2014,"['Comedy', 'Drama', 'Romance']",93.0,6.8,36793,RAtt.,5300000.0,0.0
Tees Maar Khan,2010,"['Comedy', 'Crime']",135.0,2.6,10122,UTV,1100000.0,1400000.0
Texas Chainsaw 3D,2013,"['Horror', 'Thriller']",92.0,4.8,41784,LGF,34300000.0,12900000.0
The Last Circus,2010,"['Comedy', 'Drama', 'Horror']",107.0,6.6,12183,Magn.,40500.0,3200000.0
Beast,2011,"['Drama', 'Thriller']",83.0,5.8,502,RAtt.,800000.0,0.0
Housefull,2010,['Comedy'],144.0,5.5,11089,Eros,1200000.0,1200000.0
Skin Trade,2010,['Documentary'],78.0,8.8,31,Magn.,1200.0,0.0
Break Ke Baad,2010,"['Comedy', 'Drama', 'Romance']",118.0,5.2,3651,Relbig.,428000.0,389000.0
The Dilemma,2011,"['Comedy', 'Drama']",111.0,5.3,48148,Uni.,48500000.0,21200000.0
Chasing Ice,2012,"['Biography', 'Documentary']",75.0,7.8,7729,SD,1300000.0,0.0
Puncture,2011,"['Biography', 'Drama']",100.0,6.9,21540,MNE,68900.0,0.0
The Good Doctor,2011,"['Drama', 'Thriller']",91.0,5.5,6006,Magn.,5200.0,0.0
House at the End of the Street,2012,"['Drama', 'Horror', 'Thriller']",101.0,5.6,66303,Rela.,31600000.0,12700000.0
Kedi,2010,['Action'],153.0,4.9,222,Osci.,2800000.0,0.0
Larry Crowne,2011,"['Comedy', 'Drama', 'Romance']",98.0,6.1,58927,Uni.,35600000.0,36400000.0
G.I. Joe: Retaliation,2013,"['Action', 'Adventure', 'Sci-Fi']",110.0,5.8,165536,Par.,122500000.0,253200000.0
Unforgivable,2011,['Drama'],111.0,5.8,692,Strand,154000.0,1200000.0
Catfish,2010,"['Documentary', 'Drama', 'Mystery']",87.0,7.1,38656,Rog.,3200000.0,242000.0
The Last Godfather,2010,"['Comedy', 'Crime', 'Romance']",100.0,3.7,1071,RAtt.,164000.0,16600000.0
Bodyguard,2010,['Comedy'],152.0,6.7,740,Relbig.,1800000.0,0.0
What to Expect When You're Expecting,2012,"['Comedy', 'Drama', 'Romance']",110.0,5.7,65890,LGF,41200000.0,43200000.0
Machine Gun Preacher,2011,"['Action', 'Biography', 'Crime']",129.0,6.8,60074,Rela.,539000.0,2800000.0
Maleficent,2014,"['Action', 'Adventure', 'Family']",97.0,7.0,305832,BV,241400000.0,517100000.0
Exit Through the Gift Shop,2010,"['Comedy', 'Crime', 'Documentary']",87.0,8.0,58721,PDA,3300000.0,2000000.0
I Saw the Devil,2010,"['Action', 'Crime', 'Drama']",142.0,7.8,94029,Magn.,129000.0,12600000.0
Warm Bodies,2013,"['Comedy', 'Horror', 'Romance']",98.0,6.9,208709,LG/S,66400000.0,50600000.0
"Jeff, Who Lives at Home",2011,"['Comedy', 'Drama']",83.0,6.5,60070,ParV,4300000.0,148000.0
Of Gods and Men,2010,"['Drama', 'History']",122.0,7.2,13991,SPC,4000000.0,38200000.0
Bang Bang,2011,['Drama'],102.0,7.6,45,FIP,2500000.0,39500000.0
Isle of Dogs,2010,"['Action', 'Crime', 'Thriller']",90.0,3.8,494,FoxS,32000000.0,32200000.0
How I Ended This Summer,2010,['Drama'],130.0,7.0,6105,FM,8700.0,614000.0
Uncle Boonmee Who Can Recall His Past Lives,2010,"['Drama', 'Fantasy']",114.0,6.7,11717,Strand,184000.0,946000.0
The Last Sentence,2012,"['Biography', 'Drama']",126.0,6.1,594,MBox,62500.0,265000.0
"If I Want to Whistle, I Whistle",2010,['Drama'],94.0,7.2,5737,FM,12100.0,220000.0
Special Treatment,2010,"['Comedy', 'Drama']",95.0,5.6,501,FRun,8900.0,286000.0
The Commuter,2018,"['Action', 'Mystery', 'Thriller']",105.0,6.3,83114,LGF,36300000.0,83600000.0
Insidious,2010,"['Horror', 'Mystery', 'Thriller']",103.0,6.9,254197,FD,54000000.0,43000000.0
Act of Valor,2012,"['Action', 'Adventure', 'Drama']",110.0,6.5,63787,Rela.,70000000.0,11300000.0
Take This Waltz,2011,"['Comedy', 'Drama']",116.0,6.6,25866,Magn.,1200000.0,0.0
Lockout,2012,"['Action', 'Sci-Fi', 'Thriller']",95.0,6.1,89554,FD,14300000.0,17900000.0
The Innkeepers,2011,"['Drama', 'Horror', 'Mystery']",101.0,5.5,31089,Magn.,78400.0,0.0
Norm of the North,2016,"['Adventure', 'Animation', 'Comedy']",90.0,3.6,7951,LGF,17100000.0,0.0
To the Wonder,2012,"['Drama', 'Romance']",112.0,5.9,25322,Magn.,588000.0,0.0
Fast Five,2011,"['Action', 'Crime', 'Thriller']",130.0,7.3,329892,Uni.,209800000.0,416300000.0
Pawn Sacrifice,2014,"['Biography', 'Drama', 'Sport']",115.0,7.0,34942,BST,2400000.0,3100000.0
Soul Surfer,2011,"['Biography', 'Drama', 'Family']",112.0,7.1,41659,TriS,43900000.0,3200000.0
This Means War,2012,"['Action', 'Comedy', 'Romance']",103.0,6.3,167438,Fox,54800000.0,101700000.0
The Big Short,2015,"['Biography', 'Comedy', 'Drama']",130.0,7.8,309227,Par.,70300000.0,63200000.0
The Woman in Black,2012,"['Drama', 'Fantasy', 'Horror']",95.0,6.4,165357,CBS,54300000.0,73400000.0
Salinger,2013,['Documentary'],120.0,6.7,2314,Wein.,584000.0,67000.0
Z for Zachariah,2015,"['Drama', 'Sci-Fi', 'Thriller']",98.0,6.0,25429,RAtt.,121000.0,0.0
Contagion,2011,"['Action', 'Drama', 'Thriller']",106.0,6.6,201536,WB,75700000.0,59800000.0
New Year's Eve,2011,"['Comedy', 'Romance']",113.0,5.7,76656,WB (NL),54500000.0,87500000.0
One for the Money,2012,"['Action', 'Comedy', 'Crime']",91.0,5.3,38473,LGF,26400000.0,10500000.0
Safe House,2012,"['Action', 'Adventure', 'Crime']",115.0,6.8,192655,Uni.,126400000.0,81700000.0
The Princess of Montpensier,2010,"['Action', 'Drama', 'History']",139.0,6.4,3322,IFC,352000.0,6400000.0
Abduction,2011,"['Action', 'Mystery', 'Thriller']",106.0,5.1,72552,LGF,28100000.0,54000000.0
The Drop,2014,"['Crime', 'Drama']",106.0,7.1,132161,FoxS,10700000.0,7900000.0
The Eye of the Storm,2011,['Drama'],114.0,6.3,1440,SEG,83600.0,0.0
Heartbeats,2010,"['Drama', 'Romance']",101.0,7.2,24426,IFC,68700.0,520000.0
The Grey,2011,"['Action', 'Adventure', 'Drama']",117.0,6.8,228798,ORF,51600000.0,25700000.0
Albert Nobbs,2011,"['Drama', 'Romance']",113.0,6.7,22213,RAtt.,3000000.0,2600000.0
2 Days in New York,2012,"['Comedy', 'Drama', 'Romance']",96.0,6.0,13318,Magn.,633000.0,1000000.0
Only God Forgives,2013,"['Crime', 'Drama']",90.0,5.7,100318,RTWC,779000.0,9900000.0
Amour,2012,"['Drama', 'Romance']",127.0,7.9,84960,SPC,6700000.0,13100000.0
ATM,2012,"['Horror', 'Thriller']",90.0,4.7,21608,IFC,3000.0,0.0
Prom,2011,"['Comedy', 'Drama', 'Family']",104.0,5.4,14279,BV,10100000.0,0.0
American Reunion,2012,['Comedy'],113.0,6.7,192250,Uni.,57000000.0,178000000.0
Frank,2014,"['Comedy', 'Drama', 'Music']",95.0,7.0,70130,Magn.,645000.0,0.0
The Monk,2011,"['Drama', 'Mystery', 'Thriller']",101.0,5.8,3530,ATO,13500.0,794000.0
The Visit,2010,"['Comedy', 'Drama', 'Romance']",90.0,8.3,7,Uni.,65200000.0,33200000.0
The Woman in the Fifth,2011,"['Drama', 'Mystery', 'Thriller']",84.0,5.4,5581,ATO,114000.0,0.0
Midnight in Paris,2011,"['Comedy', 'Fantasy', 'Romance']",94.0,7.7,356500,SPC,56800000.0,94300000.0
Effie Gray,2014,"['Biography', 'Drama', 'Romance']",104.0,5.9,3633,AF,353000.0,0.0
Knuckle,2011,"['Biography', 'Documentary', 'Drama']",97.0,6.8,2642,Vita.,2600.0,0.0
A Good Day to Die Hard,2013,"['Action', 'Thriller']",98.0,5.3,188383,Fox,67300000.0,237300000.0
L'amour fou,2010,['Documentary'],98.0,6.8,924,IFC,312000.0,0.0
The Vow,2012,"['Drama', 'Romance']",104.0,6.8,173629,SGem,125000000.0,71100000.0
Win Win,2011,"['Comedy', 'Drama', 'Sport']",106.0,7.2,51618,FoxS,10200000.0,652000.0
Zoolander 2,2016,['Comedy'],101.0,4.7,59914,Par.,28800000.0,27900000.0
Better Living Through Chemistry,2014,"['Comedy', 'Drama']",91.0,6.3,13388,Gold.,75100.0,0.0
Band Baaja Baaraat,2010,"['Comedy', 'Drama', 'Romance']",139.0,7.2,13832,Yash,43800.0,60700.0
Abraham Lincoln: Vampire Hunter,2012,"['Action', 'Fantasy', 'Horror']",105.0,5.9,142853,Fox,37500000.0,79000000.0
Frozen,2010,"['Fantasy', 'Romance']",92.0,5.4,75,BV,400700000.0,875700000.0
Rubber,2010,"['Comedy', 'Fantasy', 'Horror']",82.0,5.8,31316,Magn.,100000.0,0.0
Kon-Tiki,2012,"['Adventure', 'History']",118.0,7.2,41707,Wein.,1500000.0,21300000.0
Headhunters,2011,"['Action', 'Crime', 'Thriller']",96.0,7.6,91246,Magn.,1200000.0,14500000.0
Margin Call,2011,"['Drama', 'Thriller']",107.0,7.1,107264,RAtt.,5400000.0,14200000.0
The Foreigner,2017,"['Action', 'Thriller']",113.0,7.0,81288,STX,34400000.0,111000000.0
Alvin and the Chipmunks: Chipwrecked,2011,"['Adventure', 'Animation', 'Comedy']",87.0,4.4,28158,Fox,133100000.0,209600000.0
J. Edgar,2011,"['Biography', 'Crime', 'Drama']",137.0,6.6,115925,WB,37300000.0,47600000.0
One Day,2010,"['Drama', 'Romance', 'Sci-Fi']",93.0,6.0,436,Focus,13800000.0,45500000.0
Daddy's Home,2010,"['Drama', 'Thriller']",90.0,5.5,105,Par.,150400000.0,92400000.0
Jupiter Ascending,2015,"['Action', 'Adventure', 'Sci-Fi']",127.0,5.3,166327,WB,47400000.0,136600000.0
Dum Maaro Dum,2011,"['Action', 'Crime', 'Drama']",128.0,6.2,3616,FoxS,564000.0,0.0
I'm in Love with a Church Girl,2013,"['Crime', 'Drama', 'Romance']",118.0,4.5,1536,HTR,2400000.0,0.0
The Last Witch Hunter,2015,"['Action', 'Adventure', 'Fantasy']",106.0,6.0,86118,LG/S,27400000.0,119600000.0
The We and the I,2012,['Drama'],103.0,6.1,1773,P/108,42200.0,0.0
Goodbye First Love,2011,"['Drama', 'Romance']",110.0,6.6,4352,IFC,95000.0,0.0
Jackie,2016,"['Biography', 'Drama', 'History']",100.0,6.7,66008,FoxS,14000000.0,0.0
We Are What We Are,2010,"['Drama', 'Horror']",90.0,5.7,4276,EOne,81400.0,0.0
A Wrinkle in Time,2018,"['Adventure', 'Family', 'Fantasy']",109.0,4.2,34888,BV,100500000.0,32200000.0
Bleed for This,2016,"['Biography', 'Drama', 'Sport']",117.0,6.8,21946,ORF,5100000.0,0.0
Free Birds,2013,"['Adventure', 'Animation', 'Comedy']",91.0,5.9,20934,Rela.,55800000.0,54600000.0
Think Like a Man,2012,"['Comedy', 'Romance']",122.0,6.6,41043,SGem,91500000.0,4500000.0
30 Minutes or Less,2011,"['Action', 'Comedy', 'Crime']",83.0,6.1,87254,Sony,37100000.0,3500000.0
Final Destination 5,2011,['Horror'],92.0,5.9,98061,WB (NL),42600000.0,115300000.0
The Arbor,2010,"['Biography', 'Documentary', 'Drama']",94.0,7.2,1566,Strand,21600.0,105000.0
Oz the Great and Powerful,2013,"['Adventure', 'Family', 'Fantasy']",130.0,6.3,192045,BV,234900000.0,258399999.0
ParaNorman,2012,"['Adventure', 'Animation', 'Comedy']",92.0,7.0,87250,Focus,56000000.0,51100000.0
Little Birds,2011,['Drama'],94.0,6.2,4565,MNE,17700.0,0.0
North Sea Texas,2011,"['Drama', 'Romance']",98.0,7.2,7476,Strand,28300.0,16700.0
Young Adult,2011,"['Comedy', 'Drama']",94.0,6.3,74071,Par.,16300000.0,6600000.0
Hector and the Search for Happiness,2014,"['Adventure', 'Comedy', 'Drama']",120.0,7.0,41840,Rela.,1100000.0,0.0
Mausam,2011,"['Drama', 'Romance', 'War']",161.0,4.8,4906,Eros,728000.0,0.0
Gone,2011,['Documentary'],85.0,6.5,104,LG/S,11700000.0,6400000.0
Independence Day: Resurgence,2016,"['Action', 'Adventure', 'Sci-Fi']",120.0,5.2,155344,Fox,103100000.0,286500000.0
Blackthorn,2011,"['Action', 'Adventure', 'Western']",102.0,6.6,8553,Magn.,201000.0,423000.0
Chasing Mavericks,2012,"['Biography', 'Drama', 'Sport']",116.0,7.2,28994,Fox,6000000.0,600.0
Courageous,2011,['Drama'],129.0,7.0,17586,TriS,34500000.0,0.0
Edge of Tomorrow,2014,"['Action', 'Sci-Fi']",113.0,7.9,546284,WB,100200000.0,270300000.0
Creed,2010,['Horror'],77.0,6.6,12,WB (NL),109800000.0,63800000.0
Friends with Benefits,2011,"['Comedy', 'Romance']",109.0,6.6,317338,SGem,55800000.0,93700000.0
Shark Night 3D,2011,"['Horror', 'Thriller']",90.0,4.0,23190,Rela.,18900000.0,21300000.0
Intruders,2011,"['Fantasy', 'Horror', 'Thriller']",100.0,5.4,19381,MNE,69100.0,2900000.0
Johnny English Reborn,2011,"['Action', 'Adventure', 'Comedy']",101.0,6.3,110824,Uni.,8300000.0,151800000.0
Violet & Daisy,2011,"['Action', 'Comedy', 'Crime']",88.0,6.1,11248,Cdgm.,17200.0,0.0
Grassroots,2012,"['Comedy', 'Drama']",98.0,5.3,996,Gold.,12400.0,0.0
Project X,2012,['Comedy'],88.0,6.7,177782,WB,54700000.0,48000000.0
Flowers,2010,['Drama'],110.0,6.8,267,MBox,61600.0,0.0
