movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
CHIPS,2017,"['Action', 'Comedy', 'Crime']",100.0,6.0,37029,WB,18600000.0,8199999.0
Ramona and Beezus,2010,"['Adventure', 'Comedy', 'Family']",103.0,6.6,16086,Fox,26200000.0,1100000.0
The Hero of Color City,2014,"['Animation', 'Family']",77.0,4.0,431,Magn.,32200.0,0.0
Rings,2017,"['Drama', 'Horror', 'Mystery']",102.0,4.5,34151,Par.,27800000.0,55300000.0
A Thousand Words,2012,"['Comedy', 'Drama']",91.0,5.9,36387,P/DW,18500000.0,3600000.0
Escape from Planet Earth,2013,"['Adventure', 'Animation', 'Comedy']",89.0,5.9,23298,Wein.,57000000.0,17600000.0
What's Your Number?,2011,"['Comedy', 'Romance']",106.0,6.1,67922,Fox,14000000.0,16399999.0
Samsara,2011,"['Documentary', 'Music']",102.0,8.5,29725,Osci.,2700000.0,0.0
Man of Steel,2013,"['Action', 'Adventure', 'Sci-Fi']",143.0,7.1,647288,WB,291000000.0,377000000.0
The Wolfman,2010,"['Drama', 'Fantasy', 'Horror']",103.0,5.8,97873,Uni.,62000000.0,77800000.0
The Boxtrolls,2014,"['Adventure', 'Animation', 'Comedy']",96.0,6.8,50763,Focus,50800000.0,58400000.0
The Man Who Knew Infinity,2015,"['Biography', 'Drama']",108.0,7.2,43575,IFC,3900000.0,8400000.0
The Incredible Burt Wonderstone,2013,"['Adventure', 'Comedy', 'Fantasy']",100.0,5.9,67549,WB (NL),22500000.0,4900000.0
Dallas Buyers Club,2013,"['Biography', 'Drama']",117.0,8.0,402462,Focus,27300000.0,27900000.0
The First Grader,2010,"['Biography', 'Drama', 'Romance']",103.0,7.5,4052,NGE,332000.0,382000.0
Jack Reacher,2012,"['Action', 'Crime', 'Thriller']",130.0,7.0,284547,Par.,80100000.0,138300000.0
R.I.P.D.,2013,"['Action', 'Adventure', 'Comedy']",96.0,5.6,109078,Uni.,33600000.0,44700000.0
Miles Ahead,2015,"['Biography', 'Drama', 'Music']",100.0,6.4,8498,SPC,2600000.0,850000.0
